State,Prevalence,95% CI
Alabama,44.8,"(41.7, 48.0)"
Alaska,38.1,"(34.6, 41.6)"
Arizona,40.1,"(36.4, 44.0)"
Arkansas,47.2,"(44.0, 50.4)"
California,37.3,"(34.4, 40.4)"
Colorado,29.7,"(27.9, 31.6)"
Connecticut,36.6,"(33.8, 39.4)"
Delaware,46.1,"(41.7, 50.5)"
District of Columbia,30.2,"(26.7, 33.9)"
Florida,34.0,"(30.8, 37.4)"
Georgia,41.3,"(38.2, 44.5)"
Guam,46.1,"(31.6, 61.3)"
Hawaii,31.8,"(28.9, 34.9)"
Idaho,38.5,"(34.6, 42.6)"
Illinois,39.9,"(38.0, 41.9)"
Indiana,45.1,"(43.1, 47.0)"
Iowa,43.9,"(41.4, 46.5)"
Kansas,43.0,"(40.7, 45.4)"
Kentucky,42.6,"(39.5, 45.7)"
Louisiana,45.4,"(42.3, 48.5)"
Maine,38.2,"(36.1, 40.3)"
Maryland,38.1,"(36.0, 40.2)"
Massachusetts,33.8,"(31.5, 36.2)"
Michigan,41.1,"(38.7, 43.5)"
Minnesota,38.1,"(36.4, 40.0)"
Mississippi,48.0,"(43.8, 52.2)"
Missouri,43.5,"(40.4, 46.6)"
Montana,35.5,"(32.8, 38.2)"
Nebraska,43.9,"(41.6, 46.2)"
Nevada,42.6,"(37.0, 48.3)"
New Hampshire,36.3,"(33.0, 39.8)"
New Jersey,30.3,"(27.9, 32.8)"
New Mexico,41.4,"(36.5, 46.5)"
New York,35.0,"(33.7, 36.4)"
North Carolina,43.2,"(40.0, 46.5)"
North Dakota,43.3,"(40.2, 46.4)"
Ohio,41.2,"(38.6, 43.8)"
Oklahoma,47.4,"(44.9, 49.9)"
Oregon,38.7,"(36.1, 41.4)"
Pennsylvania,39.8,"(35.6, 44.2)"
Puerto Rico,44.3,"(40.9, 47.7)"
Rhode Island,36.7,"(33.4, 40.2)"
South Carolina,40.8,"(37.6, 44.1)"
South Dakota,46.9,"(41.2, 52.7)"
Tennessee,Insufficient data*,Insufficient data*
Texas,42.0,"(39.0, 45.0)"
Utah,36.3,"(34.3, 38.2)"
Vermont,34.7,"(32.0, 37.4)"
Virgin Islands,48.0,"(32.3, 64.1)"
Virginia,36.7,"(33.7, 39.9)"
Washington,36.8,"(35.5, 38.2)"
West Virginia,50.4,"(47.6, 53.3)"
Wisconsin,42.5,"(40.2, 44.8)"
Wyoming,39.5,"(36.2, 42.9)"
